"id","url","title","review_count","view_count","date","user_id","user_name","source"
"21JjDQ_50051279","https://access.ewu.edu/CAPS/SelfHelp/StressManage/DistortThink.xml","EWU | 15 Styles of Distorted Thinking",14,226476,20110205011851,4315697,"javamanjoe","toprated"
"7eG1aj_49498128","https://www.litmanlive.co.uk/blog/2010/12/assange-vs-zuckerberg/","Assange vs. Zuckerberg | litmanlive.co.uk",88,253096,20110205011851,929665,"Phayder92889","toprated"
"26xi8K_49612720","https://www.geek.com/articles/geek-cetera/girl-proves-texting-is-distracting-by-falling-in-mall-fountain-20110115/","Girl proves texting is distracting by falling in mall fountain | Geek.com",12,45200,20110208235232,1817492,"Tecfan","toprated"
"1wG6PE_49813878","https://www.keanuisimmortal.com/","Keanu Reeves is immortal",29,141687,20110208235232,12404563,"Gamdalf","toprated"
"1wn4U8_49948624","https://thepioneerwoman.com/tasty-kitchen-blog/2011/01/step-by-step-amazing-spiced-chai-concentrate","Step-by-Step: Amazing Spiced Chai Concentrate &  Tasty Kitchen Blog",7,177366,20110208235232,5,"StumbleUpon","toprated"
"1vuYm3_50428447","https://blogs.denverpost.com/captured/2011/02/07/captured-the-ruins-of-detroit/2672/","Captured: The Ruins of Detroit | Plog — World news photography, Photos — The Denver Post",4,34482,20110210095909,3848635,"schrm","toprated"
"1K3h5v_49946843","https://www.dailymail.co.uk/news/article-1350686/Glowing-dark-Eerie-phenomenon-turned-swimmers-brighter-shade-blue.html","Glowing in the dark: Eerie phenomenon turned swimmers brighter shade of blue  | Mail Online",23,223983,20110210095909,8443597,"NeaJoy","toprated"
"1m0V2G_50001098","https://https://groups.google.com/group/talk.origins/msg/7037bc7fcaf682bd","&Should &intelligent design& be taught in schools? I say absolutely.& -- Joseph Meert, asst. prof., geological sciences, U. Florida -  talk.origins |  Google Groups",7,18682,20110210095909,929665,"Phayder92889","toprated"
"1m0V2G_50612026","https://https://groups.google.com/group/talk.origins/msg/7037bc7fcaf682bd","&Should &intelligent design& be taught in schools? I say absolutely.& -- Joseph Meert, asst. prof., geological sciences, U. Florida -  talk.origins |  Google Groups",9,19337,20110224040456,10122229,"hallwriting","toprated"
"21JjDQ_50391023","https://access.ewu.edu/CAPS/SelfHelp/StressManage/DistortThink.xml","EWU | 15 Styles of Distorted Thinking",33,408455,20110301003451,5,"StumbleUpon","toprated"
"2l2Ras_49793083","https://www.explosm.net/comics/2295/","Cyanide &Happiness #2295 - Explosm.net",38,148319,20110301003451,2043622,"alainjournalist","toprated"
"88mHKn_50154682","https://www.cleverthingstosay.com/2010/01/28/space-and-the-y-axis/","http://www.cleverthingstosay.com/2010/01/28/space-and-the-y-axis/",13,67846,20110307053740,4526695,"80sBaby","toprated"
"3PAn0m_50224190","https://www.good.is/post/protesters-are-awesome-look-at-this-beautiful-photo-of-christians-protecting-praying-muslims-in-egypt/","Protesters Are Awesome: Look at This Beautiful Photo of Christians Protecting Praying Muslims in Egypt - Culture - GOOD",34,64984,20110307053740,8320851,"good","toprated"
"1UzhKJ_49705503","https://www.todayifoundout.com/index.php/2011/01/10-fascinating-food-facts/","10 Fascinating Food Facts",24,230984,20110307053740,2919939,"Crnii","toprated"
"198bOF_51342718","https://candychang.com/before-i-die-in-nola/","Before I Die&#8230; in NOLA &  Candy Chang",18,133424,20110309073142,567192,"jamesbarratt","toprated"
"198bOF_51358109","https://candychang.com/before-i-die-in-nola/","Before I Die&#8230; in NOLA &  Candy Chang",22,169128,20110312023606,9984354,"Slocum66","toprated"
"1qaL99_49966165","https://picchore.com/incredible/future-genius/","Future Genius - Baby Devises Ingenius Plan to Climb Over Baby Gate [Animated GIF]",58,371623,20110312023606,7455181,"vorstaltd","toprated"
"1vuYm3_50618960","https://blogs.denverpost.com/captured/2011/02/07/captured-the-ruins-of-detroit/2672/","Captured: The Ruins of Detroit | Plog — World news photography, Photos — The Denver Post",47,153521,20110317110556,4652939,"kiandthemags","toprated"
"2XD5go_50187706","https://www.ted.com/talks/jake_shimabukuro_plays_bohemian_rhapsody.html","Jake Shimabukuro plays &Bohemian Rhapsody& | Video on TED.com",67,482185,20110317110556,1808057,"saboma","toprated"
"198bOF_51611883","https://candychang.com/before-i-die-in-nola/","Before I Die&#8230; in NOLA &  Candy Chang",36,259111,20110317110556,6615472,"Trustthapo","toprated"
"5TqJMr_50761435","https://www.mymodernmet.com/profiles/blogs/the-girl-who-loves-to-levitate","The Girl Who Loves to Levitate (14 photos) - My Modern Metropolis",48,311075,20110317110556,2002035,"laryang982","toprated"
"531U41_51784490","https://sprki.com/joystick.html","Joystick",47,186740,20110324043005,7608215,"cory314","toprated"
"5TqJMr_51703015","https://www.mymodernmet.com/profiles/blogs/the-girl-who-loves-to-levitate","The Girl Who Loves to Levitate (14 photos) - My Modern Metropolis",56,366137,20110324043005,27,"CH","toprated"
"2AtfTc_50481119","https://www.zadan.nl/pics/pokewtf/","Poke-m-my-god-what-is-that",86,556541,20110324043005,3616080,"ToeTagJaneDoe","toprated"
"2OmVG1_51783833","https://www.zadan.nl/pics/mount/","Mt Roraima, Venezuela (pic)",29,222272,20110324043005,6896810,"djuradjura","toprated"
"2NWBXe_51089030","https://politicalirony.com/2011/02/21/fair-and-balanced/","Political Irony & Fair and Balanced",23,59271,20110324043005,2314457,"kismet72","toprated"
"ACS5Qw_51201619","https://knstrct.com/2011/03/travel-norway-the-architectural-way/","Account Suspended",20,73709,20110324043005,5576721,"norseye","toprated"
"2xTBFG_50971554","https://www.gifsoup.com/view/2050260/how-to-catch-a-baby.html","How To Catch A Baby Animated GIF | Cute GIFs - GIFSoup.com",24,91014,20110407012846,10644932,"Le0nK","toprated"
"198bOF_51893429","https://candychang.com/before-i-die-in-nola/","Before I Die &  Candy Chang",87,716792,20110412063539,5,"StumbleUpon","toprated"
"2zJiR7_52326172","https://www.informationisbeautiful.net/visualizations/radiation-dosage-chart/","Radiation Dosage Chart",63,390545,20110413053728,6425680,"TRENDKILL86","toprated"
"3PgvXr_51331324","https://www.popsci.com/technology/article/2011-03/video-goateed-geminoid-robot-guaranteed-freak-you-out","Video: Japan's New Goateed Geminoid Robot Is Uncomfortably Realistic | Popular Science",19,52305,20110413053728,3216065,"ElDave","toprated"
